--------,--------
size (bits),40
time (s),0.0009739398956298828
rounds,12
--------,--------
size (bits),56
time (s),0.002000093460083008
rounds,29
--------,--------
size (bits),80
time (s),0.007033586502075195
rounds,87
--------,--------
size (bits),128
time (s),0.020005464553833008
rounds,166
--------,--------
size (bits),168
time (s),0.033997297286987305
rounds,191
--------,--------
size (bits),224
time (s),0.1750044822692871
rounds,910
--------,--------
size (bits),256
time (s),0.09003615379333496
rounds,379
--------,--------
size (bits),512
time (s),0.09799766540527344
rounds,39
--------,--------
size (bits),1024
time (s),3.636035919189453
rounds,1204
--------,--------
size (bits),2048
time (s),6.20299506187439
rounds,85
--------,--------
size (bits),4096
time (s),25.40896463394165
rounds,9
